Date,Open,High,Low,Close,Volume,Adj Close
1995/2/21,42.625001,42.75,40.875001,41,75395600,1.351719
1995/2/17,42.875,43,42.500001,42.500001,30447200,1.401172
1995/2/16,43.124999,43.249999,42.625001,43.1875,54695200,1.423838
1995/2/15,43.249999,43.500001,42.500001,42.5625,46118800,1.403232
1995/2/14,43.75,44.124999,42.625001,42.937501,41403600,1.415596
1995/2/13,43.500001,44.5,43.249999,43.75,70842800,1.442383
1995/2/10,43.625,44.1875,43.375001,43.75,87740800,1.438422
1995/2/9,42.125,43.875,42.125,43.625,118848800,1.434313
1995/2/8,41,42.374999,40.875001,42.3125,100716000,1.39116
1995/2/7,40.375,41,40.000001,40.8125,50400000,1.341843
1995/2/6,40.750001,40.750001,39.5,40.499999,60757200,1.331568
1995/2/3,42,42.125,40.375,40.499999,79802800,1.331568
1995/2/2,40.125,41.875,40.125,41.625001,50895600,1.368556
1995/2/1,40.750001,40.750001,39.875001,40.125,39592000,1.319239
1995/1/31,40.499999,40.875001,40.000001,40.375,53194400,1.327458
1995/1/30,40.125,40.499999,39.875001,40.125,57646400,1.319239
1995/1/27,39.875001,40.375,39.000001,39.875001,74642400,1.311019
1995/1/26,40.875001,41.499999,39.25,39.5,61597200,1.29869
1995/1/25,39.5,42,39.5,40.984299,129267600,1.347491
1995/1/24,42.249999,42.374999,41.374999,41.625001,54524400,1.368556
1995/1/23,41.875,42.625001,41,42.249999,99635200,1.389105
1995/1/20,47.000001,47.000001,42.500001,42.625001,250090400,1.401434
1995/1/19,45.5,46.000001,44.999999,45.874999,78573600,1.508289
1995/1/18,44.999999,45.625,44.75,45.625,31914400,1.500069
1995/1/17,44.5,45.5,44.124999,44.999999,82527200,1.47952
1995/1/16,44.874999,45.250001,44.250001,44.5,47244400,1.463081
1995/1/13,46.125001,46.125001,44.375001,44.874999,87844400,1.47541
1995/1/12,46.125001,46.375,44.75,45.375,137944800,1.49185
1995/1/11,43.75,48.062499,42.687499,46.749999,218456000,1.537057
1995/1/10,41.25,43.999999,41.25,43.687499,153697600,1.436367
1995/1/9,41.625001,41.875,41,41.203099,68521600,1.354685
1995/1/6,41.625001,43.124999,41.125,42,269155600,1.380886
1995/1/5,39.25,39.375,38.749999,38.874999,18410000,1.278141
1995/1/4,38.625,39.624999,38.625,39.375,39670400,1.29458
1995/1/3,38.874999,38.874999,37.874999,38.375,25967200,1.261702
1994/12/30,39.375,39.875001,38.749999,39.000001,18272800,1.282251
